brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Mercedes,A-Class,Mercedes A-Class,210000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,0,0,0,mercedes,Luxury
Alfa Romeo,Giulia,Alfa Romeo Giulia,92400.0,2018,1,197.0,0,petrol,2.0,0,1,1,1,0,0,alfa romeo,Other
Toyota,Sequoia,Toyota Sequoia,120000.0,2008,4,381.0,1,petrol,5.8,1,0,0,0,0,0,toyota,Budget
Hyundai,Santa Fe,Hyundai Santa Fe,92500.0,2017,1,192.0,1,petrol,2.4,1,1,1,0,0,0,hyundai,Budget
Skoda,Karoq,Skoda Karoq,82300.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1,1,skoda,Budget
Skoda,Karoq,Skoda Karoq,99000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,skoda,Budget
Hyundai,i20,Hyundai i20,74000.0,2020,2,100.0,0,petrol,1.0,1,0,1,0,0,0,hyundai,Budget
Renault,Clio Estate,Renault Clio Estate,27800.0,2016,3,118.0,0,petrol,1.2,0,1,1,1,0,0,renault,Budget
Jeep,Compass,Jeep Compass,129000.0,2021,1,150.0,0,petrol,1.3,0,1,1,0,1,1,jeep,Other
Seat,Leon,Seat Leon,105000.0,2018,5,290.0,0,petrol,2.0,1,1,0,1,0,0,seat,Budget
Alfa Romeo,Mito,Alfa Romeo Mito / MITO,70000.0,2018,2,170.0,0,petrol,1.4,1,1,0,1,0,0,alfa romeo,Other
Audi,Q2,Audi Q2,86800.0,2017,1,150.0,0,petrol,1.4,1,1,1,0,0,0,audi,Luxury
Mercedes,Sprinter,Mercedes Sprinter commercial,195000.0,2021,1,143.0,0,diesel,2.1,1,0,1,0,1,1,mercedes,Luxury
Citroen,Berlingo,Citroen Berlingo 2nd generation (2008-2019),53000.0,2018,3,100.0,0,diesel,1.6,1,0,1,1,0,0,citroen,Other
Geely,Geely Geometry C,Geely - Geely Geometry C,156900.0,2024,1,204.0,0,electric,,0,1,0,1,0,0,geely,Other
Dodge,Ram,Dodge Ram short,189900.0,2022,1,370.0,1,petrol,6.7,1,0,0,0,0,0,dodge,Other
Nissan,Micra,Nissan Micra,40000.0,2018,1,80.0,0,petrol,1.2,1,0,0,0,0,0,nissan,Budget
Nissan,Qashqai,Nissan Qashqai,63000.0,2017,2,130.0,0,diesel,1.6,0,1,1,1,0,0,nissan,Budget
Hyundai,Ioniq,Hyundai Ioniq,116900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0,0,hyundai,Budget
Suzuki,Ignis,Suzuki Ignis,70000.0,2021,1,83.0,0,hybrid,1.2,0,1,1,0,0,0,suzuki,Budget
Hyundai,i10,Hyundai i10,72900.0,2021,1,84.0,0,petrol,1.2,1,1,1,0,0,0,hyundai,Budget
Mazda,3,Mazda 3,54900.0,2016,1,120.0,0,petrol,1.5,1,1,0,1,0,0,mazda,Other
Nissan,Qashqai,Nissan Qashqai,100000.0,2019,1,115.0,0,petrol,1.2,0,1,1,0,0,0,nissan,Budget
BMW,7 Series,BMW 7 Series,77000.0,2014,6,258.0,0,petrol,3.0,1,1,0,0,0,0,bmw,Luxury
Kia,Sportage,Kia Sportage,88000.0,2019,1,155.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget
